ID	s10	s1	s2	s3	s4	s5	s6	s7	s8	s9
k__Bacteria	99.99861	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.96652
k__Bacteria|p__Actinobacteria	21.3487	16.14201	0.03386	3.67379	3.60702	0.07323	0.05394	20.28172	57.88122	11.18825
k__Bacteria|p__Actinobacteria|c__Actinobacteria	21.3487	16.14201	0.03386	3.67379	3.60702	0.07323	0.05394	20.28172	57.88122	11.18825
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.07021	11.88607	0.03138	3.67379	3.60702	0.07323	0.03447	7.31292	12.56818	3.46857
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00214	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00214	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00214	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Varibaculum|s__Varibaculum_cambriense|t__GCF_000420065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00214	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	0.05014	0.0	0.02159	1.25223	0.0	0.0	0.0	0.0	0.02811	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	0.05014	0.0	0.02159	1.25223	0.0	0.0	0.0	0.0	0.02811	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_accolens	0.05014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02811	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_accolens|t__Corynebacterium_accolens_unclassified	0.05014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02811	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_amycolatum	0.0	0.0	0.00013	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_amycolatum|t__GCF_000173655	0.0	0.0	0.00013	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_jeikeium	0.0	0.0	0.0	0.14804	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_jeikeium|t__Corynebacterium_jeikeium_unclassified	0.0	0.0	0.0	0.14804	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pseudogenitalium	0.0	0.0	0.0	0.05805	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pseudogenitalium|t__GCF_000156615	0.0	0.0	0.0	0.05805	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	0.0	0.0	0.02147	1.04614	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum|t__GCF_000175635	0.0	0.0	0.02147	1.04614	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.02007	11.88607	0.00979	2.42156	3.60702	0.07323	0.03447	7.31292	12.53792	3.46857
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	0.01654	0.0	0.0	0.0	0.0	0.02892	0.03447	7.07172	12.49922	1.1638
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium	0.00353	11.88607	0.00979	2.42156	3.60702	0.04432	0.0	0.24121	0.0387	2.30477
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	0.0	11.88607	0.00979	2.42156	3.60702	0.04432	0.0	0.13859	0.03826	2.30477
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes|t__Propionibacterium_acnes_unclassified	0.0	11.88607	0.00979	2.42156	3.60702	0.04432	0.0	0.13859	0.03826	2.30477
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_avidum	0.00353	0.0	0.0	0.0	0.0	0.0	0.0	0.10261	0.00044	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_avidum|t__Propionibacterium_avidum_unclassified	0.00353	0.0	0.0	0.0	0.0	0.0	0.0	0.10261	0.00044	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	21.27849	4.25594	0.00248	0.0	0.0	0.0	0.01947	12.9688	45.2718	7.71968
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	21.27849	4.25594	0.00248	0.0	0.0	0.0	0.01947	12.9688	45.2718	7.71968
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	21.27849	4.25594	0.00248	0.0	0.0	0.0	0.01947	12.9688	45.2718	7.71968
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	21.27332	4.02719	0.0	0.0	0.0	0.0	0.01947	0.59655	43.08453	6.51448
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve|t__Bifidobacterium_breve_unclassified	21.27332	4.02719	0.0	0.0	0.0	0.0	0.01947	0.59655	43.08453	6.51448
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0.00517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2052
