X.clade_name	clade_taxid	SRR16348844_profile	SRR16348845_profile	SRR16348846_profile	SRR16348849_profile	SRR16348850_profile	SRR16348851_profile	SRR16348852_profile	SRR16348853_profile	SRR16348854_profile	SRR16348855_profile	SRR16348856_profile	SRR16348857_profile	SRR16348858_profile	SRR16348859_profile	SRR16348860_profile	SRR16348861_profile	SRR16348862_profile	SRR16348863_profile	SRR16348864_profile	SRR16348865_profile	SRR16348866_profile
k__Bacteria	2	958970	584991	1803917	1197124	1128210	531205	1216472	319429	739673	1779535	871683	761090	869189	268551	697287	863897	431478	499486	540615	584808	3207866
k__Bacteria|p__Verrucomicrobia	2|74201	511626	  1230	1782021	 492468	   9071	NA	  46870	NA	NA	1577778	NA	  5394	  2826	NA	 29275	  5005	 69336	 75449	292317	201937	2917737
k__Bacteria|p__Firmicutes	2|1239	289856	404603	    575	 159081	 466101	337151	 700317	267674	555264	 118654	656305	684716	673217	130465	512465	533150	237313	224624	166632	249330	 241754
k__Bacteria|p__Proteobacteria	2|1224	 69651	 30157	  10670	 106416	 106072	169332	  30869	 30896	 42519	  16555	  3299	 21193	117693	 46908	 94859	252912	 86210	160001	 35204	 55503	NA
k__Bacteria|p__Actinobacteria	2|201174	 40432	118620	   2905	  68365	 520864	 16090	  29097	 17937	 92695	  63189	201392	 42990	 51430	 54347	 46390	 71628	 16427	 17110	 39437	 38779	  47273
k__Bacteria|p__Bacteroidetes	2|976	 47405	 30381	   7746	 370794	  26102	NA	  16414	  2922	 49195	   3359	  1575	NA	  7577	 36831	 14298	  1202	 22192	 22302	  7025	 39259	   1102
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	511626	  1230	1782021	 492468	   9071	NA	  46870	NA	NA	1577778	NA	  5394	  2826	NA	 29275	  5005	 69336	 75449	292317	201937	2917737
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	 86776	118039	    575	  13272	 262980	 44915	 426288	172886	164698	  77944	217357	528254	115253	 56060	110998	311129	 54891	 81934	 56831	143815	  41366
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	 69651	 30157	NA	  13998	NA	169332	  29930	 30896	 39458	  16555	  3299	 21193	117693	 46908	 94859	248790	 86210	157816	 35204	 53348	NA
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	 84554	150153	NA	 120110	 202963	   684	  44272	  2474	 52603	  38174	 13049	 29175	 15020	  2616	 14251	142334	NA	  2292	 46054	 25548	  95204
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	116688	125078	NA	  25699	    158	288873	 229154	 88817	319125	   2536	406155	124718	541911	 61365	373146	 78995	180086	132852	 63435	 79341	  99422
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	 47405	 30381	   7746	 370794	  26102	NA	  16414	  2922	 49195	   3359	  1575	NA	  7577	 36831	 14298	  1202	 22192	 22302	  7025	 39259	   1102
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	 37914	116357	NA	  26352	  22334	 16090	  27102	 17937	 88847	  37144	196499	 27167	 47704	 51759	 40760	 55820	 16126	 16807	 38157	 33021	  47273
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	  2518	  2263	   2905	  42013	 498530	NA	   1995	NA	  3848	  26045	  4893	 15823	  3726	  2588	  5630	 15808	   301	   303	  1280	  5758	NA
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	  1838	 11333	NA	NA	NA	  2679	    603	  3497	 18838	NA	 19744	  2569	  1033	 10424	 14070	   692	  2336	  7546	   312	   626	   5762
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	511626	  1230	1782021	 492468	   9071	NA	  46870	NA	NA	1577778	NA	  5394	  2826	NA	 29275	  5005	 69336	 75449	292317	201937	2917737
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	 86776	118039	    575	  13272	 262980	 44915	 426222	172886	164698	  77944	217357	528254	115253	 56060	110998	311129	 54891	 81934	 56831	143815	  41366
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	 69651	 30157	NA	  13998	NA	169332	  29930	 30896	 39458	  16555	  3299	 21193	117693	 46908	 94859	248790	 86210	157816	 35204	 53348	NA
