#mpa_v30_CHOCOPhlAn_201901
#/home/oaltay/.pyenv/versions/3.7.0/bin/metaphlan /proj/sllstore2017024/ozlem/KCL_SMOKE/SRR9657787_1.fastq.gz --bowtie2out /proj/sllstore2017024/ozlem/KCL_SMOKE/SRR9657787.bowtie2.bz2 --input_type fastq -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:85214
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.0149	36992
k__Bacteria|p__Bacteroidetes	2|976	36.55168	0.00545	16491
k__Bacteria|p__Firmicutes	2|1239	27.87985	0.00415	8375
k__Bacteria|p__Proteobacteria	2|1224	21.12218	0.00315	7021
k__Bacteria|p__Fusobacteria	2|32066	8.12488	0.00121	2946
k__Bacteria|p__Actinobacteria	2|201174	6.3214	0.00094	2159
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	36.55168	0.00545	16491
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	16.43121	0.00245	5579
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	12.52766	0.00187	3611
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	11.6876	0.00174	3612
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	8.12488	0.00121	2946
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	6.3214	0.00094	2159
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	4.69097	0.0007	1442
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	3.66459	0.00055	1152
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	36.55168	0.00545	16491
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	16.43121	0.00245	5579
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	11.6876	0.00174	3612
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	8.30109	0.00124	2357
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	8.12488	0.00121	2946
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	6.3214	0.00094	2159
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	4.69097	0.0007	1442
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	4.22657	0.00063	1254
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	3.66459	0.00055	1152
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	30.79115	0.00459	14470
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	2|1224|28216|206351|481	16.43121	0.00245	5579
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	11.6876	0.00174	3612
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	2|1239|91061|1385|	8.30109	0.00124	2357
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	2|32066|203490|203491|203492	8.12488	0.00121	2946
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	2|201174|1760|85006|1268	6.3214	0.00094	2159
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2|976|200643|171549|171551	5.76053	0.00086	2021
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	2|1224|1236|135625|712	4.69097	0.0007	1442
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	4.22657	0.00063	1254
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	1.85232	0.00028	683
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	1.81227	0.00027	469
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2|976|200643|171549|171552|838	30.79115	0.00459	14470
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria	2|1224|28216|206351|481|482	16.43121	0.00245	5579
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella	2|1239|909932|1843489|31977|29465	11.6876	0.00174	3612
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella	2|1239|91061|1385||1378	8.30109	0.00124	2357
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	2|32066|203490|203491|203492|848	8.12488	0.00121	2946
