clade_name	116_R1	117_R1	129_R1	130_R1	186_R1	207_R1	208_R1	209_R1	212_R1	213_R1	224_R1	225_R1	255_R1	262_R1	264_R1	293_R1	295_R1	301_R1	307_R1
k__Bacteria	5571767	14449673	12979068	8389364	6225459	8749927	11063787	9416726	7241411	9258564	14712399	16272417	8830758	7087142	5143889	13126420	5059179	10660024	11655750
k__Archaea	4487	0	0	1079	0	977	344	0	0	0	0	0	314	1568	373	266	0	0	0
k__Bacteria|p__Firmicutes	2801938	2060485	3600301	3519133	1538899	1998594	5116057	2618407	2187793	1784500	5743153	4100156	2737276	2864930	1449484	7350984	2940670	2997175	3345654
k__Bacteria|p__Verrucomicrobia	1133264	5649	10727	229660	20314	0	0	0	0	0	0	0	0	0	0	0	317316	0	0
k__Bacteria|p__Bacteroidetes	1111158	12221913	8908869	4457415	4537035	6701713	5743821	6645759	4929631	7432008	8874733	12015239	5868741	3961880	3533820	5620607	1588600	7518907	8267445
k__Bacteria|p__Actinobacteria	202076	64388	52289	50131	96582	16321	51327	142765	26068	22696	31504	17311	50692	77626	22474	131592	205546	69172	39334
k__Bacteria|p__Lentisphaerae	250232	0	29387	5818	0	2610	0	0	8988	0	0	0	0	35195	39408	0	3497	0	0
k__Bacteria|p__Proteobacteria	73099	97238	377495	127207	32629	30689	152582	9795	84971	19360	63009	139711	174049	147511	98703	23237	3550	74770	3317
k__Archaea|p__Euryarchaeota	4487	0	0	1079	0	977	344	0	0	0	0	0	314	1568	373	266	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia	2387353	2032026	3495018	3303090	1477126	1857448	4874526	2167993	2043894	1756399	5558905	4009556	2443899	2742324	1246242	7231805	1842818	2955565	3231427
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1133264	5649	10727	229660	20314	0	0	0	0	0	0	0	0	0	0	0	317316	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	1111158	12221913	8908869	4457415	4537035	6701713	5743821	6645759	4929631	7432008	8874733	12015239	5868741	3961880	3533820	5620607	1588600	7518907	8267445
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	303305	321	8769	81133	29839	50069	0	18149	91701	10061	33343	0	64221	18872	82030	22586	1095710	2473	32903
k__Bacteria|p__Actinobacteria|c__Actinobacteria	138646	18869	40048	898	57769	1291	19420	43284	8514	8950	6791	6603	31025	26700	13543	4898	157525	24252	5330
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	250232	0	29387	5818	0	2610	0	0	8988	0	0	0	0	35195	39408	0	3497	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes	67440	13977	79265	94071	31213	40482	227626	427214	31603	10141	85439	53750	216255	77321	3354	9159	0	24987	71248
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	63430	45519	12241	49233	38813	15030	31907	99481	17554	13746	24713	10708	19667	50926	8931	126694	48021	44920	34004
